,Id,Slug,Url,HasTravis,HasCircle,NumPrs,NumComments
5006,48183710,cloudify-cosmo/cloudify-netconf-plugin,https://api.github.com/repos/cloudify-cosmo/cloudify-netconf-plugin,False,True,15.0,4.0
5026,34269086,DataDog/docker-dd-agent-build-deb-x64,https://api.github.com/repos/DataDog/docker-dd-agent-build-deb-x64,False,True,24.0,7.0
5036,52311967,percolate/wordpress,https://api.github.com/repos/percolate/wordpress,False,True,19.0,
5039,5067423,Siyavula/cnxml-validator,https://api.github.com/repos/Siyavula/cnxml-validator,False,True,41.0,2.0
5045,48792991,wordpress-mobile/WordPress-FluxC-Android,https://api.github.com/repos/wordpress-mobile/WordPress-FluxC-Android,False,True,823.0,1617.0
5084,56090784,conda-forge/oct2py-feedstock,https://api.github.com/repos/conda-forge/oct2py-feedstock,False,True,26.0,36.0
5089,50264480,nisevi/nisevi,https://api.github.com/repos/nisevi/nisevi,False,True,9.0,7.0
5095,45425825,citizennet/cn-flex-form,https://api.github.com/repos/citizennet/cn-flex-form,False,True,43.0,
5117,6026657,segmentio/Analytics.NET,https://api.github.com/repos/segmentio/Analytics.NET,False,True,65.0,59.0
5134,59664034,conda-forge/keyring-feedstock,https://api.github.com/repos/conda-forge/keyring-feedstock,False,True,29.0,48.0
5142,64263074,conda-forge/newrelic-feedstock,https://api.github.com/repos/conda-forge/newrelic-feedstock,False,True,31.0,62.0
5154,58000291,conda-forge/feather-format-feedstock,https://api.github.com/repos/conda-forge/feather-format-feedstock,False,True,12.0,67.0
5171,6067619,FCP-INDI/fcp-indi.github.com,https://api.github.com/repos/FCP-INDI/fcp-indi.github.com,False,True,63.0,1.0
5186,73006755,dehora/nakadi-java,https://api.github.com/repos/dehora/nakadi-java,False,True,92.0,15.0
5200,59732644,IGGG/IGGG.github.io,https://api.github.com/repos/IGGG/IGGG.github.io,False,True,49.0,13.0
5220,19465637,Rise-Vision/widget-web-page,https://api.github.com/repos/Rise-Vision/widget-web-page,False,True,63.0,160.0
5280,52429223,johannesboyne/gofakes3,https://api.github.com/repos/johannesboyne/gofakes3,False,True,28.0,66.0
5285,68429735,ponzu-cms/ponzu,https://api.github.com/repos/ponzu-cms/ponzu,False,True,151.0,118.0
5440,2558636,SCPR/SCPRv4,https://api.github.com/repos/SCPR/SCPRv4,False,True,456.0,282.0
5454,75202732,Financial-Times/origami-service,https://api.github.com/repos/Financial-Times/origami-service,False,True,63.0,13.0
5458,22257580,freelawproject/courtlistener,https://api.github.com/repos/freelawproject/courtlistener,False,True,129.0,166.0
5474,23597997,neo4j-contrib/developer-resources,https://api.github.com/repos/neo4j-contrib/developer-resources,False,True,131.0,97.0
5498,17824173,Financial-Times/o-fonts,https://api.github.com/repos/Financial-Times/o-fonts,False,True,57.0,69.0
5554,30390703,Clever/node-google-admin-sdk,https://api.github.com/repos/Clever/node-google-admin-sdk,False,True,20.0,12.0
5581,54496688,conda-forge/pyelftools-feedstock,https://api.github.com/repos/conda-forge/pyelftools-feedstock,False,True,15.0,17.0
5584,697520,metabrainz/musicbrainz-server,https://api.github.com/repos/metabrainz/musicbrainz-server,False,True,1067.0,2063.0
5623,36958129,adnelson/nixfromnpm,https://api.github.com/repos/adnelson/nixfromnpm,False,True,71.0,116.0
5625,47250097,ScottLogic/StockFlux,https://api.github.com/repos/ScottLogic/StockFlux,False,True,412.0,337.0
5644,48077746,macacajs/macaca-ios,https://api.github.com/repos/macacajs/macaca-ios,False,True,53.0,24.0
